problema;  modelo;  num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_iterations; nb_linear_nonzeros; status; time; has_hit_limit 
ID004_M015_J015; minla_fav; 15; 15; True; 1142.393814092654; 1242.999999997; 0.08093820265855241; 10110; 1801; 1088; 175363115; 29445; time limit exceeded; 7200.008656978607; True;  
ID004_M015_J015; liao; 15; 15; True; 1028.7479266695755; 1247.0000000000016; 0.1750217107701751; 1800; 3376; 2585; 213326211; 6750; time limit exceeded; 7200.013155937195; True;  
ID004_M015_J015; liao_desig; 15; 15; True; 1045.549996472626; 1268.9999999999995; 0.1760835331184839; 8550; 3376; 2576; 139376264; 26325; time limit exceeded; 7200.0128400325775; True;  
ID004_M015_J015; manne; 15; 15; False; nan; 940.0; nan; 3375; 1801; 1057; 1056; 9900; optimal; 0.023714780807495117; False;  
ID004_M015_J015; minla_fav; 15; 15; False; nan; 975.6942503668224; nan; 10110; 1801; 1187; 3025; 29445; optimal; 0.09689497947692871; False;  
ID004_M015_J015; liao; 15; 15; False; nan; 940.0; nan; 1800; 3376; 1788; 344; 6750; optimal; 0.007967948913574219; False;  
ID004_M015_J015; liao_desig; 15; 15; False; nan; 975.6942503668225; nan; 8550; 3376; 2720; 2583; 26325; optimal; 0.06976103782653809; False;  
ID005_M015_J015; manne; 15; 15; True; 1161.887752200548; 1162.0; 9.659879470911975e-05; 3375; 1801; 1014; 89597757; 9900; integer optimal, tolerance; 1578.6128618717194; False;  
ID005_M015_J015; minla_fav; 15; 15; True; 1161.929362540009; 1162.0; 6.078955248801194e-05; 10110; 1801; 1013; 57625105; 29445; integer optimal, tolerance; 1828.1208109855652; False;  
ID005_M015_J015; liao; 15; 15; True; 1066.9999999999964; 1174.999999999001; 0.09191489361624441; 1800; 3376; 2500; 187851011; 6750; time limit exceeded; 7200.676119804382; True;  
ID005_M015_J015; liao_desig; 15; 15; True; 1090.000000000001; 1168.0; 0.06678082191780171; 8550; 3376; 2483; 169261566; 26325; time limit exceeded; 7200.012133836746; True;  
ID005_M015_J015; manne; 15; 15; False; nan; 849.0; nan; 3375; 1801; 1108; 1107; 9900; optimal; 0.026779890060424805; False;  
ID005_M015_J015; minla_fav; 15; 15; False; nan; 915.057151941249; nan; 10110; 1801; 1145; 3295; 29445; optimal; 0.10820412635803223; False;  
ID005_M015_J015; liao; 15; 15; False; nan; 849.0; nan; 1800; 3376; 1788; 333; 6750; optimal; 0.0075931549072265625; False;  
ID005_M015_J015; liao_desig; 15; 15; False; nan; 915.0571519412489; nan; 8550; 3376; 2692; 3323; 26325; optimal; 0.1257328987121582; False;  
ID006_M015_J015; manne; 15; 15; True; 1242.9310344827588; 1242.9999999999995; 5.548311926042425e-05; 3375; 1801; 1010; 15336692; 9900; integer optimal, tolerance; 295.82075691223145; False;  
ID006_M015_J015; minla_fav; 15; 15; True; 1242.983606557377; 1243.0; 1.3188610316156916e-05; 10110; 1801; 990; 17034488; 29445; integer optimal, tolerance; 688.5791850090027; False;  
ID006_M015_J015; liao; 15; 15; True; 1119.4458161868106; 1243.0000000000002; 0.0993999869776184; 1800; 3376; 2504; 182750583; 6750; time limit exceeded; 7200.010724067688; True;  
ID006_M015_J015; liao_desig; 15; 15; True; 1242.8920863309377; 1243.0000000000002; 8.681711107204016e-05; 8550; 3376; 2520; 42630175; 26325; integer optimal, tolerance; 2236.0084688663483; False;  
ID006_M015_J015; manne; 15; 15; False; nan; 935.0; nan; 3375; 1801; 1134; 1133; 9900; optimal; 0.02138996124267578; False;  
ID006_M015_J015; minla_fav; 15; 15; False; nan; 979.4327546182903; nan; 10110; 1801; 1125; 3140; 29445; optimal; 0.08602690696716309; False;  
ID006_M015_J015; liao; 15; 15; False; nan; 935.0; nan; 1800; 3376; 1787; 341; 6750; optimal; 0.0076329708099365234; False;  
ID006_M015_J015; liao_desig; 15; 15; False; nan; 979.4327546182905; nan; 8550; 3376; 2667; 2881; 26325; optimal; 0.08216190338134766; False;  
ID007_M015_J015; manne; 15; 15; True; 1181.0; 1181.0; 0.0; 3375; 1801; 1039; 1524290; 9900; integer optimal solution; 51.82030487060547; False;  
ID007_M015_J015; minla_fav; 15; 15; True; 1180.901515151515; 1181.0; 8.339106560963416e-05; 10110; 1801; 1033; 1014219; 29445; integer optimal, tolerance; 60.78833794593811; False;  
ID007_M015_J015; liao; 15; 15; True; 1180.8888888888328; 1181.0; 9.408222791468055e-05; 1800; 3376; 2557; 8469206; 6750; integer optimal, tolerance; 252.18494606018066; False;  
ID007_M015_J015; liao_desig; 15; 15; True; 1180.9999999999998; 1180.9999999999998; 0.0; 8550; 3376; 2565; 4219753; 26325; integer optimal solution; 184.56559205055237; False;  
ID007_M015_J015; manne; 15; 15; False; nan; 963.0; nan; 3375; 1801; 967; 966; 9900; optimal; 0.016443967819213867; False;  
ID007_M015_J015; minla_fav; 15; 15; False; nan; 963.0; nan; 10110; 1801; 1122; 2744; 29445; optimal; 0.07893586158752441; False;  
ID007_M015_J015; liao; 15; 15; False; nan; 963.0; nan; 1800; 3376; 1787; 330; 6750; optimal; 0.007637977600097656; False;  
ID007_M015_J015; liao_desig; 15; 15; False; nan; 963.0; nan; 8550; 3376; 2678; 2565; 26325; optimal; 0.07799315452575684; False;  
ID008_M015_J015; manne; 15; 15; True; 1219.9999999999995; 1292.999999816404; 0.05645784982735049; 3375; 1801; 949; 478066003; 9900; time limit exceeded; 7200.009181022644; True;  
ID008_M015_J015; minla_fav; 15; 15; True; 1218.0; 1292.999999999; 0.058004640370496685; 10110; 1801; 982; 222386194; 29445; time limit exceeded; 7200.009173154831; True;  
ID008_M015_J015; liao; 15; 15; True; 1099.9999999999977; 1317.0000000000116; 0.16476841305998138; 1800; 3376; 2550; 237080094; 6750; time limit exceeded; 7200.01425909996; True;  
ID008_M015_J015; liao_desig; 15; 15; True; 1112.5051557169827; 1326.9999999969998; 0.16163891807120262; 8550; 3376; 2446; 141273745; 26325; time limit exceeded; 7200.02352809906; True;  
ID008_M015_J015; manne; 15; 15; False; nan; 982.0; nan; 3375; 1801; 1085; 1084; 9900; optimal; 0.023798227310180664; False;  
ID008_M015_J015; minla_fav; 15; 15; False; nan; 1012.3756895899518; nan; 10110; 1801; 1142; 3185; 29445; optimal; 0.10103797912597656; False;  
ID008_M015_J015; liao; 15; 15; False; nan; 982.0; nan; 1800; 3376; 1787; 330; 6750; optimal; 0.007687091827392578; False;  
ID008_M015_J015; liao_desig; 15; 15; False; nan; 1012.375689589952; nan; 8550; 3376; 2705; 2663; 26325; optimal; 0.0923621654510498; False;  
ID009_M015_J015; manne; 15; 15; True; 1110.3766816156926; 1206.0; 0.07928965040157498; 3375; 1801; 1057; 311697864; 9900; time limit exceeded; 7200.007434844971; True;  
ID009_M015_J015; minla_fav; 15; 15; True; 1206.0; 1206.0; 0.0; 10110; 1801; 1056; 16359632; 29445; integer optimal solution; 629.6957068443298; False;  
ID009_M015_J015; liao; 15; 15; True; 1039.9999999999854; 1240.0000000000002; 0.16129032258064405; 1800; 3376; 2555; 186315213; 6750; time limit exceeded; 7200.0125041008; True;  
ID009_M015_J015; liao_desig; 15; 15; True; 1205.8796992481257; 1205.9999998411004; 9.975173548135395e-05; 8550; 3376; 2586; 106284083; 26325; integer optimal, tolerance; 4182.823582172394; False;  
ID009_M015_J015; manne; 15; 15; False; nan; 896.0; nan; 3375; 1801; 1108; 1107; 9900; optimal; 0.02169203758239746; False;  
ID009_M015_J015; minla_fav; 15; 15; False; nan; 988.8829191933197; nan; 10110; 1801; 1153; 3273; 29445; optimal; 0.09713101387023926; False;  
ID009_M015_J015; liao; 15; 15; False; nan; 896.0; nan; 1800; 3376; 1785; 346; 6750; optimal; 0.007563114166259766; False;  
ID009_M015_J015; liao_desig; 15; 15; False; nan; 988.8829191933199; nan; 8550; 3376; 2702; 2912; 26325; optimal; 0.08015298843383789; False;  
ID000_M015_J020; manne; 15; 20; True; 1148.0000000000002; 1382.0000000000002; 0.16931982633862735; 6000; 3151; 1698; 211590561; 17700; time limit exceeded; 7202.201351881027; True;  
ID000_M015_J020; minla_fav; 15; 20; True; 1087.9999999999995; 1447.0; 0.24809951624048074; 17980; 3151; 1714; 51584072; 52760; time limit exceeded; 7200.0411949157715; True;  
ID000_M015_J020; liao; 15; 20; True; 1073.9955538786649; 1503.9999999999998; 0.2859072115168261; 3150; 6001; 4171; 148049288; 12000; time limit exceeded; 7200.114238023758; True;  
ID000_M015_J020; liao_desig; 15; 20; True; 1074.1037033038217; 1528.9999999999982; 0.2975122934572578; 15150; 6001; 4374; 90116011; 47100; time limit exceeded; 7200.033183097839; True;  
ID000_M015_J020; manne; 15; 20; False; nan; 949.0; nan; 6000; 3151; 1953; 1952; 17700; optimal; 0.04286909103393555; False;  
ID000_M015_J020; minla_fav; 15; 20; False; nan; 992.1796252084565; nan; 17980; 3151; 1965; 7925; 52760; optimal; 0.2896709442138672; False;  
ID000_M015_J020; liao; 15; 20; False; nan; 949.0; nan; 3150; 6001; 3134; 467; 12000; optimal; 0.01685619354248047; False;  
ID000_M015_J020; liao_desig; 15; 20; False; nan; 992.1796252084562; nan; 15150; 6001; 4791; 23; 47100; optimal; 0.5883080959320068; False;  
ID001_M015_J020; manne; 15; 20; True; 1113.9398067872248; 1440.0; 0.22643068973107813; 6000; 3151; 1743; 140540130; 17700; time limit exceeded; 7200.011579036713; True;  
